slug,showcased,title,series_name,release_date,japanese_title,url,runtime,poster_url,transliteration,translation,aliases_json
ring-2-1999,TRUE,Ring 2,Ring,1999-01-23,リング2,/films/ring-2-1999,95,/static/images/films/posters/ring-2-1999.webp,Ringu 2,Ring 2,"[{""alias"":""Ringu 2"",""context"":""American Home Video""}]"
rodan-1956,TRUE,Rodan,,1956-12-26,空の大怪獣 ラドン,/films/rodan-1956,82,/static/images/films/posters/rodan-1956.webp,Sora No Daikaijû Radon,Giant Sky Monster Rodan,[]
rurouni-kenshin-2012,TRUE,Rurouni Kenshin,Rurouni Kenshin,2012-08-25,るろうに剣心,/films/rurouni-kenshin-2012,134,/static/images/films/posters/rurouni-kenshin-2012.webp,Rurôni Kenshin,Rurouni Kenshin,"[{""alias"":""Rurouni Kenshin Part I: Origins"",""context"":""American Home Video""}]"
rurouni-kenshin-kyoto-inferno-2014,TRUE,Rurouni Kenshin: Kyoto Inferno,Rurouni Kenshin,2014-08-01,るろうに剣心 京都大火編,/films/rurouni-kenshin-kyoto-inferno-2014,139,/static/images/films/posters/rurouni-kenshin-kyoto-inferno-2014.webp,Rurôni Kenshin Kyôto Taika-hen,Rurouni Kenshin Great Fire of Kyoto,"[{""alias"":""Rurouni Kenshin Part II: Kyoto Inferno"",""context"":""American Home Video""}]"
rurouni-kenshin-the-beginning-2021,FALSE,Rurouni Kenshin: The Beginning,Rurouni Kenshin,2021-06-04,るろうに剣心 最終章 The Beginning
rurouni-kenshin-the-final-2021,FALSE,Rurouni Kenshin: The Final,Rurouni Kenshin,2021-04-23,るろうに剣心 最終章 The Final
rurouni-kenshin-the-legend-ends-2014,TRUE,Rurouni Kenshin: The Legend Ends,Rurouni Kenshin,2014-09-13,るろうに剣心 伝説の最期編,/films/rurouni-kenshin-the-legend-ends-2014,135,/static/images/films/posters/rurouni-kenshin-the-legend-ends-2014.webp,Rurôni Kenshin Densetsu No Saigo-hen,Rurouni Kenshin The End of the Legend,"[{""alias"":""Rurouni Kenshin Part III: The Legend Ends"",""context"":""American Home Video""}]"
sakuya-slayer-of-demons-2000,TRUE,Sakuya: Slayer of Demons,,2000-08-12,さくや妖怪伝,/films/sakuya-slayer-of-demons-2000,88,/static/images/films/posters/sakuya-slayer-of-demons-2000.webp,Sakuya Yôkai-den,Sakuya Yokai Legend,[]
salaryman-chushingura-1960,FALSE,Salaryman Chushingura,Company President,1960-12-25,サラリーマン忠臣蔵,,,,,,[]
salaryman-chushingura-part-ii-1961,FALSE,Salaryman Chushingura: Part II,Company President,1961-02-25,続サラリーマン忠臣蔵,,,,,,[]
samaritan-zatoichi-1968,TRUE,Samaritan Zatoichi,Zatoichi,1968-12-28,座頭市喧嘩太鼓,/films/samaritan-zatoichi-1968,82,/static/images/films/posters/samaritan-zatoichi-1968.webp,Zatôichi Kenkadaiko,Zatôichi Fighting Drum,[]
samurai-commando-mission-1549-2005,TRUE,Samurai Commando: Mission 1549,,2005-06-11,戦国自衛隊1549,/films/samurai-commando-mission-1549-2005,120,/static/images/films/posters/samurai-commando-mission-1549-2005.webp,Sengoku Jieitai 1549,Sengoku Self Defense Force 1549,[]
samurai-i-musashi-miyamoto-1954,TRUE,Samurai I: Musashi Miyamoto,Musashi Miyamoto,1954-09-26,宮本武蔵,/films/samurai-i-musashi-miyamoto-1954,94,/static/images/films/posters/samurai-i-musashi-miyamoto-1954.webp,Miyamoto Musashi,Miyamoto Musashi,[]
samurai-ii-duel-at-ichijoji-temple-1955,TRUE,Samurai II: Duel at Ichijoji Temple,Musashi Miyamoto,1955-07-12,續宮本武蔵 一乘寺の決斗,/films/samurai-ii-duel-at-ichijoji-temple-1955,103,/static/images/films/posters/samurai-ii-duel-at-ichijoji-temple-1955.webp,Zoku Miyamoto Musashi Ichijôji No Kettô,Continued Miyamoto Musashi Duel at Ichijoji,[]
samurai-iii-duel-at-ganryu-island-1956,TRUE,Samurai III: Duel at Ganryu Island,Musashi Miyamoto,1956-01-03,宮本武蔵 完結篇 決闘巌流島,/films/samurai-iii-duel-at-ganryu-island-1956,104,/static/images/films/posters/samurai-iii-duel-at-ganryu-island-1956.webp,Miyamoto Musashi Kanketsu-hen Kettô Ganryû-jima,Miyamoto Musashi Final Chapter Duel Ganryu Island,[]
samurai-reincarnation-1981,TRUE,Samurai Reincarnation,,1981-06-06,魔界転生,/films/samurai-reincarnation-1981,122,/static/images/films/posters/samurai-reincarnation-1981.webp,Makai Tenshô,Demon World Incarnation,[]
sanjuro-1962,TRUE,Sanjuro,Yojimbo,1962-01-01,椿三十郎,/films/sanjuro-1962,96,/static/images/films/posters/sanjuro-1962.webp,Tsubaki Sanjûrô,Tsubaki Sanjuro,[]
sanshiro-sugata-1943,FALSE,Sanshiro Sugata,Sanshiro Sugata,1943-03-25,姿三四郎,,,,,,
sanshiro-sugata-part-two-1945,FALSE,Sanshiro Sugata: Part Two,Sanshiro Sugata,1945-05-03,續姿三四郎,,,,,,
sayonara-jupiter-1984,TRUE,Sayonara Jupiter,,1984-03-17,さよならジュピター,/films/sayonara-jupiter-1984,129,/static/images/films/posters/sayonara-jupiter-1984.webp,Sayonara Jupitâ,Goodbye Jupiter,[]
secret-of-the-telegian-1960,TRUE,The Secret of the Telegian,,1960-04-10,電送人間,/films/secret-of-the-telegian-1960,85,/static/images/films/posters/secret-of-the-telegian-1960.webp,Densô Ningen,Transmitted Man,[]
secret-savings-president-1956,FALSE,Secret Savings President,Company President,1956-01-03,へそくり社長,,,,,,[]
secret-savings-president-part-ii-1956,FALSE,Secret Savings President: Part II,Company President,1956-03-20,続へそくり社長,,,,,,[]
seven-samurai-1954,TRUE,Seven Samurai,,1954-04-26,七人の侍,/films/seven-samurai-1954,207,/static/images/films/posters/seven-samurai-1954.webp,Shichinin No Samurai,Seven Samurai,[]
shimizu-port-salaryman-1962,FALSE,Shimizu Port Salaryman,Company President,1962-01-03,サラリーマン清水港,,,,,,[]
shimizu-port-salaryman-part-ii-1962,FALSE,Shimizu Port Salaryman: Part II,Company President,1962-03-07,続サラリーマン清水港,,,,,,[]
shin-godzilla-2016,TRUE,Shin Godzilla,Godzilla,2016-07-29,シン・ゴジラ,/films/shin-godzilla-2016,119,/static/images/films/posters/shin-godzilla-2016.webp,Shin Gojira,Shin Godzilla,"[{""alias"":""Godzilla Resurgence"",""context"":""International Title""}]"
shinobi-heart-under-blade-2005,TRUE,Shinobi: Heart Under Blade,,2005-09-17,SHINOBI-HEART UNDER BLADE-,/films/shinobi-heart-under-blade-2005,101,/static/images/films/posters/shinobi-heart-under-blade-2005.webp,,,[]
singing-young-guy-1966,FALSE,Singing Young Guy,Young Guy,1966-09-10,歌う若大将,,,,,,
sinking-of-japan-2006,TRUE,The Sinking of Japan,,2006-07-15,日本沈没,/films/sinking-of-japan-2006,135,/static/images/films/posters/sinking-of-japan-2006.webp,Nihon Chinbotsu,Japan Sinks,[]
sir-galahad-in-campus-1961,FALSE,Sir Galahad in Campus,Young Guy,1961-07-08,大学の若大将,,,,,,
sky-crawlers-2008,TRUE,The Sky Crawlers,,2008-08-02,スカイ・クロラ The Sky Crawlers,/films/sky-crawlers-2008,122,/static/images/films/posters/sky-crawlers-2008.webp,Sukai Kurora The Sky Crawlers,Sky Crawler The Sky Crawlers,[]
sky-high-2003,TRUE,Sky High,,2003-11-08,スカイハイ 劇場版,/films/sky-high-2003,123,/static/images/films/posters/sky-high-2003.webp,Sukaihai Gekijô-ban,Sky High the Movie,[]
son-of-godzilla-1967,TRUE,Son of Godzilla,Godzilla,1967-12-16,怪獣島の決戦 ゴジラの息子,/films/son-of-godzilla-1967,86,/static/images/films/posters/son-of-godzilla-1967.webp,Kaijû-to No Kessen Gojira No Musuko,Decisive Battle on Monster Island Son of Godzilla,[]
space-amoeba-1970,TRUE,Space Amoeba,,1970-08-01,ゲゾラ・ガニメ・カメーバ 決戦！ 南海の大怪獣,/films/space-amoeba-1970,84,/static/images/films/posters/space-amoeba-1970.webp,Gezora Ganime Kamêba Kessen! Nankai No Daikaijû,Gezora Ganime Kamoebas Decisive Battle! Giant Monsters of the South Seas,"[{""alias"":""Yog, Monster from Space"",""context"":""American Theatrical Release""}]"
space-battleship-yamato-2010,TRUE,Space Battleship Yamato,,2010-12-01,SPACE BATTLESHIP ヤマト,/films/space-battleship-yamato-2010,138,/static/images/films/posters/space-battleship-yamato-2010.webp,Space Battleship Yamato,Space Battleship Yamato,[]
spiral-1998,TRUE,Spiral,Ring,1998-01-31,らせん,/films/spiral-1998,97,/static/images/films/posters/spiral-1998.webp,Rasen,Spiral,"[{""alias"":""Rasen"",""context"":""American Home Video""}]"
spirited-away-2001,TRUE,Spirited Away,,2001-07-20,千と千尋の神隠し,/films/spirited-away-2001,124,/static/images/films/posters/spirited-away-2001.webp,Sen To Chihiro No Kamikakushi,Sen and Chihiro's Mysterious Disappearance,[]
stand-by-me-doraemon-2-2020,FALSE,Stand By Me Doraemon 2,Stand By Me Doraemon,2020-11-20,STAND BY ME ドラえもん 2,,,,,,
stand-by-me-doraemon-2014,TRUE,Stand By Me Doraemon,Stand By Me Doraemon,2014-08-08,STAND BY ME ドラえもん,/films/stand-by-me-doraemon-2014,95,/static/images/films/posters/stand-by-me-doraemon-2014.webp,Stand By Me Doraemon,Stand By Me Doraemon,[]
stray-dog-1949,FALSE,Stray Dog,,1949-10-17,野良犬,,,,,,
stray-dog-kerberos-panzer-cops-1991,TRUE,Stray Dog: Kerberos Panzer Cops,Kerberos,1991-03-23,ケルベロス-地獄の番犬,/films/stray-dog-kerberos-panzer-cops-1991,99,/static/images/films/posters/stray-dog-kerberos-panzer-cops-1991.webp,Keruberosu -Jigoku No Banken-,Kerberos -Hell's Watchdog-,[]
submersion-of-japan-1973,TRUE,Submersion of Japan,,1973-12-29,日本沈没,/films/submersion-of-japan-1973,140,/static/images/films/posters/submersion-of-japan-1973.webp,Nihon Chinbotsu,Japan Sinks,"[{""alias"":""Tidal Wave"",""context"":""American Theatrical Release""}]"
sword-of-alexander-2007,TRUE,The Sword of Alexander,,2007-04-07,大帝の剣,/films/sword-of-alexander-2007,110,/static/images/films/posters/sword-of-alexander-2007.webp,Taitei No Ken,Sword of the Great Emperor,[]
sword-of-doom-1966,FALSE,The Sword of Doom,,1966-02-25,大菩薩峠,,,,,,
tale-of-zatoichi-1962,TRUE,The Tale of Zatoichi,Zatoichi,1962-04-18,座頭市物語,/films/tale-of-zatoichi-1962,96,/static/images/films/posters/tale-of-zatoichi-1962.webp,Zatôichi Monogatari,Zatôichi Story,[]
tale-of-zatoichi-continues-1962,TRUE,The Tale of Zatoichi Continues,Zatoichi,1962-10-12,続・座頭市物語,/films/tale-of-zatoichi-continues-1962,73,/static/images/films/posters/tale-of-zatoichi-continues-1962.webp,Zoku Zatôichi Monogatari,Continued Zatôichi Story,[]
talking-head-1992,TRUE,Talking Head,,1992-10-10,トーキング・ヘッド,/films/talking-head-1992,105,/static/images/films/posters/talking-head-1992.webp,Tôkingu Heddo,Talking Head,[]
terror-of-mechagodzilla-1975,TRUE,Terror of Mechagodzilla,Godzilla,1975-03-15,メカゴジラの逆襲,/films/terror-of-mechagodzilla-1975,83,/static/images/films/posters/terror-of-mechagodzilla-1975.webp,Mekagojira No Gyakushû,Mechagodzilla Strikes Back,"[{""alias"":""The Terror of Godzilla"",""context"":""American Theatrical Release""}]"
tetsujin-28-2005,TRUE,Tetsujin-28,,2005-03-19,鉄人28号,/films/tetsujin-28-2005,114,/static/images/films/posters/tetsujin-28-2005.webp,Tetsujin 28-gô,Tetsujin 28,[]
this-is-my-sky-young-guy-1970,FALSE,This is My Sky! Young Guy,Young Guy,1970-08-14,俺の空だぜ!若大将,,,,,,
three-generations-of-presidents-1958,FALSE,Three Generations of Presidents,Company President,1958-01-03,社長三代記,,,,,,[]
three-generations-of-presidents-part-ii-1958,FALSE,Three Generations of Presidents: Part II,Company President,1958-03-18,続・社長三代記,,,,,,[]
three-outlaw-samurai-1964,TRUE,Three Outlaw Samurai,,1964-05-13,三匹の侍,/films/three-outlaw-samurai-1964,94,/static/images/films/posters/three-outlaw-samurai-1964.webp,Sanbiki No Samurai,Three Samurai,[]
three-treasures-1959,TRUE,The Three Treasures,,1959-10-25,日本誕生,/films/three-treasures-1959,182,/static/images/films/posters/three-treasures-1959.webp,Nihon Tanjô,Birth of Japan,[]
throne-of-blood-1957,TRUE,Throne of Blood,,1957-01-15,蜘蛛巣城,/films/throne-of-blood-1957,110,/static/images/films/posters/throne-of-blood-1957.webp,Kumonosu-jô,Spider Web Castle,[]
tokyo-blackout-1987,TRUE,Tokyo Blackout,,1987-01-17,首都消失,/films/tokyo-blackout-1987,120,/static/images/films/posters/tokyo-blackout-1987.webp,Shuto Shôshitsu,Disappearance of the Capital,[]
tokyo-story-1953,FALSE,Tokyo Story,,1953-11-03,東京物語,,,,,,
top-secret-murder-in-mind-2016,TRUE,The Top Secret: Murder in Mind,,2016-08-06,秘密 THE TOP SECRET,/films/top-secret-murder-in-mind-2016,148,/static/images/films/posters/top-secret-murder-in-mind-2016.webp,Himitsu The Top Secret,Secret The Top Secret,[]
tora-tora-tora-1970,FALSE,Tora! Tora! Tora!,,1970-09-23,トラ・トラ・トラ！,,,,,,
trap-of-suicide-kilometer-1964,FALSE,Trap of Suicide Kilometer,International Secret Police,1964-02-14,国際秘密警察 虎の牙
triumphant-return-of-general-rouge-2009,TRUE,The Triumphant Return of General Rouge,Team Batista,2009-03-07,ジェネラル・ルージュの凱旋,/films/triumphant-return-of-general-rouge-2009,123,/static/images/films/posters/triumphant-return-of-general-rouge-2009.webp,Jeneraru Rûju No Gaisen,Triumph of General Rouge,[]
tsubaki-sanjuro-2007,TRUE,Tsubaki Sanjuro,,2007-12-01,椿三十郎,/films/tsubaki-sanjuro-2007,119,/static/images/films/posters/tsubaki-sanjuro-2007.webp,Tsubaki Sanjûrô,Tsubaki Sanjuro,[]
twilight-of-honor-1963,FALSE,Twilight of Honor,,1963-10-16,,,,,,,
ultraman-the-next-2004,TRUE,Ultraman: The Next,,2004-12-18,ULTRAMAN,/films/ultraman-the-next-2004,97,/static/images/films/posters/ultraman-the-next-2004.webp,,,[]
vampire-doll-1970,TRUE,The Vampire Doll,Bloodthirsty,1970-07-04,幽霊屋敷の恐怖 血を吸う人形,/films/vampire-doll-1970,71,/static/images/films/posters/vampire-doll-1970.webp,Yûrei Yashiki No Kyôfu Chiwosuu Ningyô,Horror of the Haunted House Bloodthirsty Doll,[]
varan-the-unbelievable-1958,TRUE,Varan the Unbelievable,,1958-10-14,大怪獣バラン,/films/varan-the-unbelievable-1958,82,/static/images/films/posters/varan-the-unbelievable-1958.webp,Daikaijû Baran,Giant Monster Varan,[]
versus-2000,TRUE,Versus,,2000-09-08,VERSUS,/films/versus-2000,119,/static/images/films/posters/versus-2000.webp,,,[]
war-in-space-1977,TRUE,The War in Space,,1977-12-17,惑星大戦争,/films/war-in-space-1977,91,/static/images/films/posters/war-in-space-1977.webp,Wakusei Daisensô,Great Planetary War,[]
war-of-the-gargantuas-1966,TRUE,War of the Gargantuas,Frankenstein,1966-07-31,フランケンシュタインの怪獣 サンダ対ガイラ,/films/war-of-the-gargantuas-1966,88,/static/images/films/posters/war-of-the-gargantuas-1966.webp,Furankenshutain No Kaijû Sanda Tai Gaira,Frankenstein's Monsters Sanda vs. Gaira,[]
warning-from-space-1956,TRUE,Warning from Space,,1956-01-29,宇宙人東京に現わる,/films/warning-from-space-1956,82,/static/images/films/posters/warning-from-space-1956.webp,Uchûjin Tôkyô Ni Arawaru,Aliens Appear in Tokyo,[]
whirlwind-1964,TRUE,Whirlwind,Osaka Castle,1964-01-03,士魂魔道 大龍巻,/films/whirlwind-1964,106,/static/images/films/posters/whirlwind-1964.webp,Shikon Madô Daitatsumaki,Warrior's Spirit Great Tornado,[]
wind-rises-2013,TRUE,The Wind Rises,,2013-07-20,風立ちぬ,/films/wind-rises-2013,126,/static/images/films/posters/wind-rises-2013.webp,Kaze Tachinu,Wind Rises,[]
wrath-of-daimajin-1966,TRUE,Wrath of Daimajin,Daimajin,1966-12-10,大魔神逆襲,/films/wrath-of-daimajin-1966,87,/static/images/films/posters/wrath-of-daimajin-1966.webp,Daimajin Gyakushû,Daimajin Strikes Back,"[{""alias"":""Daimajin Strikes Again"",""context"":""American Home Video""}]"
wxiii-patlabor-the-movie-3-2001,FALSE,WXIII: Patlabor the Movie 3,Patlabor,2002-03-30,WXIII 機動警察パトレイバー
x-from-outer-space-1967,TRUE,The X from Outer Space,,1967-03-25,宇宙大怪獣ギララ,/films/x-from-outer-space-1967,88,/static/images/films/posters/x-from-outer-space-1967.webp,Uchû Daikaijû Girara,Giant Space Monster Guilala,[]
year-one-in-the-north-2005,FALSE,Year One in the North,,2005-01-15,北の零年,,,,,,
yojimbo-1961,TRUE,Yojimbo,Yojimbo,1961-04-25,用心棒,/films/yojimbo-1961,110,/static/images/films/posters/yojimbo-1961.webp,Yôjinbô,Bodyguard,[]
you-only-live-twice-1967,FALSE,You Only Live Twice,,1967-06-13,,,,,,,
young-guy-at-sea-1965,FALSE,Young Guy at Sea,Young Guy,1965-08-08,海の若大将,,,,,,
young-guy-in-hawaii-1963,FALSE,Young Guy in Hawaii,Young Guy,1963-08-11,ハワイの若大将,,,,,,
young-guy-in-new-zealand-1969,FALSE,Young Guy in New Zealand,Young Guy,1969-07-12,ニュージーランドの若大将,,,,,,
young-guy-in-rio-1968,FALSE,Young Guy in Rio,Young Guy,1968-07-13,リオの若大将,,,,,,
young-guy-vs-blue-guy-1971,FALSE,Young Guy vs. Blue Guy,Young Guy,1971-01-09,若大将対青大将,,,,,,
zatoichi-1989,TRUE,Zatoichi,Zatoichi,1989-02-04,座頭市,/films/zatoichi-1989,116,/static/images/films/posters/zatoichi-1989.webp,Zatôichi,Zatôichi,[]
zatoichi-and-the-chess-expert-1965,TRUE,Zatoichi and the Chess Expert,Zatoichi,1965-12-24,座頭市地獄旅,/films/zatoichi-and-the-chess-expert-1965,87,/static/images/films/posters/zatoichi-and-the-chess-expert-1965.webp,Zatôichi Jigoku Tabi,Zatôichi Hell Journey,[]
zatoichi-and-the-chest-of-gold-1964,TRUE,Zatoichi and the Chest of Gold,Zatoichi,1964-03-14,座頭市千両首,/films/zatoichi-and-the-chest-of-gold-1964,83,/static/images/films/posters/zatoichi-and-the-chest-of-gold-1964.webp,Zatôichi Senryôkubi,Zatôichi Thousand Ryô Neck,[]
zatoichi-and-the-doomed-man-1965,TRUE,Zatoichi and the Doomed Man,Zatoichi,1965-09-18,座頭市逆手斬り,/films/zatoichi-and-the-doomed-man-1965,78,/static/images/films/posters/zatoichi-and-the-doomed-man-1965.webp,Zatôichi Gyakute Kiri,Zatôichi Reverse Slash,[]
zatoichi-and-the-fugitives-1968,TRUE,Zatoichi and the Fugitives,Zatoichi,1968-08-10,座頭市果し状,/films/zatoichi-and-the-fugitives-1968,82,/static/images/films/posters/zatoichi-and-the-fugitives-1968.webp,Zatôichi Hatashijô,Zatôichi Letter of Challenge,[]
zatoichi-at-large-1972,TRUE,Zatoichi at Large,Zatoichi,1972-01-15,座頭市御用旅,/films/zatoichi-at-large-1972,90,/static/images/films/posters/zatoichi-at-large-1972.webp,Zatôichi Goyôtabi,Zatôichi Errand,[]
zatoichi-challenged-1967,TRUE,Zatoichi Challenged,Zatoichi,1967-12-30,座頭市血煙り街道,/films/zatoichi-challenged-1967,87,/static/images/films/posters/zatoichi-challenged-1967.webp,Zatôichi Chikemurikaidô,Zatôichi Blood Smoke Road,[]
zatoichi-goes-to-the-fire-festival-1970,TRUE,Zatoichi Goes to the Fire Festival,Zatoichi,1970-08-12,座頭市あばれ火祭り,/films/zatoichi-goes-to-the-fire-festival-1970,96,/static/images/films/posters/zatoichi-goes-to-the-fire-festival-1970.webp,Zatôichi Abare-hi Matsuri,Zatôichi Fire Festival,[]
zatoichi-in-desperation-1972,TRUE,Zatoichi in Desperation,Zatoichi,1972-09-02,新座頭市物語 折れた杖,/films/zatoichi-in-desperation-1972,95,/static/images/films/posters/zatoichi-in-desperation-1972.webp,Shin Zatôichi Monogatari Oreta Tsue,New Zatôichi Story Broken Cane,[]
zatoichi-meets-the-one-armed-swordsman-1971,TRUE,Zatoichi Meets the One-Armed Swordsman,Zatoichi,1971-01-13,新座頭市・破れ！唐人剣,/films/zatoichi-meets-the-one-armed-swordsman-1971,94,/static/images/films/posters/zatoichi-meets-the-one-armed-swordsman-1971.webp,Shin Zatôichi Yabure! Tôjinken,New Zatôichi Slash! Chinese Sword,[]
zatoichi-meets-yojimbo-1970,TRUE,Zatoichi Meets Yojimbo,Zatoichi,1970-01-15,座頭市と用心棒,/films/zatoichi-meets-yojimbo-1970,115,/static/images/films/posters/zatoichi-meets-yojimbo-1970.webp,Zatôichi To Yôjinbô,Zatôichi and Yojimbo,[]
zatoichi-on-the-road-1963,TRUE,Zatoichi on the Road,Zatoichi,1963-11-30,座頭市喧嘩旅,/films/zatoichi-on-the-road-1963,88,/static/images/films/posters/zatoichi-on-the-road-1963.webp,Zatôichi Kenkatabi,Zatôichi Fighting Journey,[]
zatoichi-the-fugitive-1963,TRUE,Zatoichi the Fugitive,Zatoichi,1963-08-10,座頭市兇状旅,/films/zatoichi-the-fugitive-1963,86,/static/images/films/posters/zatoichi-the-fugitive-1963.webp,Zatôichi Kyôjôtabi,Zatôichi Funeral Journey,[]
zatoichi-the-outlaw-1967,TRUE,Zatoichi the Outlaw,Zatoichi,1967-08-12,座頭市牢破り,/films/zatoichi-the-outlaw-1967,96,/static/images/films/posters/zatoichi-the-outlaw-1967.webp,Zatôichi Rôyaburi,Zatôichi Prisonbreaker,[]
zatoichis-cane-sword-1967,TRUE,Zatoichi's Cane Sword,Zatoichi,1967-01-03,座頭市鉄火旅,/films/zatoichis-cane-sword-1967,93,/static/images/films/posters/zatoichis-cane-sword-1967.webp,Zatôichi Tekkatabi,Zatôichi Fire Journey,[]
zatoichis-conspiracy-1973,TRUE,Zatoichi's Conspiracy,Zatoichi,1973-04-21,新座頭市物語 笠間の血祭り,/films/zatoichis-conspiracy-1973,88,/static/images/films/posters/zatoichis-conspiracy-1973.webp,Shin Zatôichi Monogatari Kasama No Chimatsuri,New Zatôichi Story Kasama Blood Festival,[]
zatoichis-flashing-sword-1964,TRUE,Zatoichi's Flashing Sword,Zatoichi,1964-07-11,座頭市あばれ凧,/films/zatoichis-flashing-sword-1964,82,/static/images/films/posters/zatoichis-flashing-sword-1964.webp,Zatôichi Abaredako,Zatôichi Wild Kite,[]
zatoichis-pilgrimage-1966,TRUE,Zatoichi's Pilgrimage,Zatoichi,1966-08-13,座頭市海を渡る,/films/zatoichis-pilgrimage-1966,82,/static/images/films/posters/zatoichis-pilgrimage-1966.webp,Zatôichi Umiwowataru,Zatôichi Across the Sea,[]
zatoichis-revenge-1965,TRUE,Zatoichi's Revenge,Zatoichi,1965-04-03,座頭市二段斬り,/films/zatoichis-revenge-1965,84,/static/images/films/posters/zatoichis-revenge-1965.webp,Zatôichi Nidangiri,Zatôichi Double Slash,[]
zatoichis-vengeance-1966,TRUE,Zatoichi's Vengeance,Zatoichi,1966-05-03,座頭市の歌が聞える,/films/zatoichis-vengeance-1966,83,/static/images/films/posters/zatoichis-vengeance-1966.webp,Zatôichi No Uta Ga Kikoeru,I Can Hear the Song of Zatôichi,[]
zeiram-1991,TRUE,Zëiram,Zëiram,1991-12-21,ゼイラム,/films/zeiram-1991,97,/static/images/films/posters/zeiram-1991.webp,Zeiramu,Zëiram,[]
zeiram-2-1994,TRUE,Zëiram 2,Zëiram,1994-12-17,ゼイラム2,/films/zeiram-2-1994,100,/static/images/films/posters/zeiram-2-1994.webp,Zeiramu 2,Zëiram 2,[]
prince-of-space-1959,TRUE,Prince of Space,Prince of Space,1959-05-19,遊星王子,/films/prince-of-space-1959,57,/static/images/films/posters/prince-of-space-1959.webp,Yûsei Ôji,Planet Prince
terrifying-spaceship-1959,FALSE,The Terrifying Spaceship,Prince of Space,1959-05-25,遊星王子 恐怖の宇宙船,,64,,Yûsei Ôji Kyôfu No Uchûsen,"Planet Prince Spaceship of Terror"
